rsi,bb_up,bb_down,bb_up2,bb_down2,ma100,ma50,sar,stoch,close,open,result
0,1,1,2,2,0,0,0,0,1,1,0,66.67%
0,2,2,1,1,1,0,0,0,1,1,1,58.33%
0,2,2,0,0,0,0,0,0,1,1,1,50.95%
0,2,2,1,1,0,0,0,0,1,1,1,65.52%
0,2,2,1,1,0,0,0,0,1,0,0,54.17%
0,2,2,0,0,0,0,0,0,1,0,1,50.77%
0,2,2,0,0,0,0,0,0,2,0,0,50.51%
0,1,1,2,2,0,0,0,0,2,0,0,51.72%
0,2,2,1,1,0,0,0,0,2,0,0,51.02%
0,2,2,0,0,1,0,0,0,1,0,1,55.81%
0,2,2,0,0,1,0,0,0,1,1,1,53.32%
1,2,2,0,0,0,0,0,0,1,1,1,50.87%
1,2,2,0,0,1,0,0,0,1,1,0,50.4%
1,2,2,0,0,0,0,0,0,2,0,0,54.55%
0,2,2,0,0,0,0,0,0,2,2,1,52.67%
1,2,2,0,0,1,0,0,0,1,0,0,62.5%
0,2,2,0,0,0,2,0,0,2,2,0,68.18%
1,2,2,0,0,1,0,1,0,1,1,1,52.38%
1,2,2,0,0,0,0,0,0,1,0,0,50.82%
0,2,2,0,0,0,0,0,0,2,1,0,54.39%
0,2,1,0,2,0,2,0,0,2,2,1,58.82%
0,2,1,0,0,0,2,0,0,2,2,1,52.83%
0,2,1,0,0,0,0,0,0,2,2,1,51.25%
0,2,1,0,0,0,0,0,0,2,0,1,51.58%
0,2,1,0,0,0,0,0,0,1,0,0,54.2%
0,2,1,0,0,0,0,0,0,1,1,0,54.55%
0,2,2,0,1,1,0,0,0,1,0,0,80.0%
0,1,1,2,0,0,2,0,0,2,2,0,63.16%
0,2,1,1,0,0,0,0,0,2,2,0,55.0%
0,1,1,2,0,0,0,0,0,2,2,0,56.0%
0,2,2,0,1,0,0,0,0,1,0,1,59.09%
0,2,1,0,2,0,0,0,0,2,0,0,62.63%
0,2,2,0,1,0,0,0,0,2,0,0,50.94%
0,2,1,0,2,0,0,0,0,1,0,1,52.63%
0,1,1,0,0,0,0,0,0,2,2,0,52.05%
0,1,1,0,0,0,0,0,0,2,0,0,51.18%
0,2,1,1,0,0,0,0,0,2,0,1,53.85%
0,2,2,0,1,0,0,0,0,1,1,0,70.0%
0,1,1,2,0,0,0,0,0,2,0,1,51.79%
0,1,1,2,2,0,0,0,0,1,0,1,52.48%
0,1,1,0,0,0,0,0,0,1,0,0,52.41%
0,1,1,0,0,0,2,0,0,2,0,0,55.56%
0,1,2,0,1,0,0,0,0,1,0,1,54.23%
0,2,2,1,1,1,0,0,0,1,0,1,76.92%
0,2,2,0,0,0,2,0,0,2,0,1,62.5%
0,1,1,0,0,0,2,0,0,2,2,0,52.93%
0,2,1,1,0,0,0,0,0,1,0,0,52.78%
0,1,1,0,0,0,0,0,0,1,1,1,53.75%
0,2,2,1,0,0,0,0,0,2,0,1,51.22%
0,1,2,0,0,0,0,0,0,1,0,1,51.12%
0,2,2,1,0,0,0,0,0,1,0,1,55.88%
2,1,1,0,0,0,0,0,0,2,2,0,53.67%
2,1,1,0,0,0,2,0,0,2,2,0,57.24%
0,1,1,0,0,0,0,0,0,1,2,1,50.91%
0,1,1,0,0,0,0,0,0,2,1,1,68.57%
0,2,2,0,0,1,0,1,0,1,0,0,66.67%
2,1,1,0,0,0,2,0,2,2,2,0,61.4%
2,1,1,0,0,0,0,0,0,1,2,1,80.0%
0,1,2,0,0,0,0,0,0,1,1,0,50.24%
0,2,2,1,0,1,0,0,0,1,1,1,53.33%
0,1,2,0,1,0,0,0,0,2,0,0,52.63%
0,1,2,0,0,0,0,0,0,2,0,0,60.34%
0,1,1,0,2,0,0,0,0,1,0,0,51.91%
2,1,1,0,0,0,2,0,0,2,0,0,69.23%
0,1,2,0,1,0,0,0,0,1,1,1,54.1%
0,1,1,0,2,0,0,0,0,1,1,0,64.29%
0,1,2,2,0,0,0,0,0,1,0,0,56.0%
0,1,1,0,2,0,0,0,0,2,2,0,53.33%
0,2,2,1,1,0,0,0,0,2,2,1,57.89%
0,2,2,1,0,0,0,0,0,1,1,0,52.94%
0,1,1,0,2,0,2,0,0,2,0,1,60.0%
2,1,1,0,0,0,2,0,2,2,0,0,75.0%
2,1,1,0,0,0,0,0,0,2,0,1,53.97%
0,1,1,0,0,1,0,0,0,1,1,1,56.25%
0,1,2,0,1,1,0,0,0,1,1,1,51.35%
0,1,2,0,0,1,0,0,0,1,1,0,52.08%
0,1,2,2,0,0,0,0,0,1,1,1,51.16%
0,2,2,0,1,0,0,0,0,2,2,1,51.28%
0,2,1,0,2,0,0,0,0,2,2,0,60.0%
0,1,1,2,0,0,0,0,0,1,0,1,55.0%
2,1,1,2,0,0,2,0,0,2,2,0,57.14%
0,2,2,0,0,1,0,1,0,1,1,0,56.25%
0,1,1,2,2,0,2,0,0,2,2,0,71.43%
0,2,1,0,0,0,2,0,0,2,0,1,60.0%
0,1,1,0,0,0,2,0,2,2,2,1,57.69%
0,1,2,0,0,0,0,0,0,2,1,0,66.67%
0,2,2,1,0,1,0,0,0,1,0,0,63.16%
0,1,1,0,0,1,0,0,0,1,0,0,66.67%
0,1,2,0,0,1,0,0,0,1,0,0,61.54%
0,1,1,2,2,0,2,0,0,2,0,1,73.33%
0,1,1,0,0,0,2,0,2,2,0,1,53.33%
0,1,2,0,1,1,0,0,0,1,0,0,66.67%
0,1,2,0,1,0,0,0,0,2,2,0,63.64%
0,2,1,0,2,0,0,0,0,1,1,1,80.0%
0,2,2,0,0,0,0,0,0,1,2,0,66.67%
0,1,1,2,0,0,2,0,0,2,0,1,57.14%
0,1,1,2,2,0,2,0,2,2,0,0,66.67%
0,2,1,0,0,0,0,0,0,1,2,1,57.14%
0,1,2,0,0,0,0,0,0,2,2,1,62.5%
0,1,1,2,2,0,0,0,0,2,2,0,57.89%
1,2,2,0,0,0,0,0,0,2,1,1,75.0%
0,1,1,0,0,0,0,0,0,0,0,0,66.67%
0,2,2,0,1,0,0,0,0,2,1,0,66.67%
0,1,1,0,0,0,2,0,0,1,0,1,66.67%
2,1,1,2,0,0,2,0,2,2,2,0,60.0%
0,2,2,1,0,0,0,0,0,2,2,0,66.67%
0,2,2,0,0,1,0,0,0,2,0,0,66.67%
1,2,2,1,0,1,0,1,0,1,1,0,66.67%
0,2,2,1,1,0,0,0,0,2,1,0,66.67%
1,2,2,1,0,1,0,0,0,1,1,0,66.67%
0,2,1,1,0,0,0,0,0,1,1,1,83.33%
0,1,1,2,0,0,0,0,0,1,1,1,66.67%
0,2,2,1,1,1,0,1,0,1,0,1,66.67%
0,2,2,1,0,1,0,1,0,1,1,1,66.67%
0,2,1,0,2,0,0,0,0,1,2,1,75.0%
